input,output,delay,api_delay,success
525631,725.004137919226,120.7730770111084,117.117168265675,True
662474,813.9250579752413,184.5099925994873,181.53817090027252,True
669818,818.4240954419658,190.66739082336426,187.17361813174855,True
957420,978.4784105947356,115.8456802368164,111.04781593085674,True
755663,869.2887897586164,187.63160705566406,183.2126818783239,True
922670,960.557130003208,106.51111602783203,102.36361393732014,True
230947,480.5694538773766,157.68694877624512,154.8238702868116,True
150730,388.2396167317292,179.79192733764648,176.50120590049957,True
769662,877.3038242251084,128.56531143188477,125.25040938177531,True
658320,811.369213120636,158.4792137145996,154.75524944110836,True
322479,567.8723448099934,152.907133102417,148.65613366677798,True
295242,543.3617579476862,190.29474258422852,186.58780322439483,True
3989,63.15853069855251,117.24257469177246,114.25817349284232,True
257581,507.5243836506774,157.17649459838867,153.0182736693352,True
23842,154.40854898612318,162.6436710357666,158.76681237766766,True
621176,788.1471943742489,115.72074890136719,112.59838489007768,True
56272,237.2172000509238,149.05762672424316,145.74871380459436,True
381292,617.488461430657,150.67172050476074,147.89705422719635,True
50344,224.37468662930763,146.57855033874512,143.05435247395488,True
967548,983.640178113928,132.8880786895752,129.93561354242155,True
811133,900.6292244869694,168.72549057006836,165.70743097566054,True
205075,452.85207297747905,126.4963150024414,123.34820748661443,True
706624,840.6093028274194,190.34695625305176,186.94808954409996,True
236582,486.3969572273248,132.5676441192627,130.01342189722436,True
986920,993.4384731829143,152.62389183044434,149.35600838249272,True
726441,852.3150825838999,169.51537132263184,165.8783245365023,True
455605,674.9851850226048,141.51453971862793,137.88571518025134,True
152886,391.00639380961536,109.527587890625,105.71693210255668,True
777921,881.9982993180882,162.39023208618164,158.0809899360221,True
418431,646.8624274140523,121.98996543884277,119.25359896258654,True
577882,760.1855036765697,178.38478088378906,174.05641532078073,True
258108,508.04330524080325,163.90562057495117,160.60318419478236,True
395405,628.812372651811,115.9963607788086,112.35558510373075,True
699197,836.1800045444761,111.50074005126953,108.28288079605231,True
275325,524.7142079265626,139.34016227722168,135.49057195708428,True
776217,881.0317814925861,176.00440979003906,172.05901069209645,True
105198,324.3424116578034,143.93305778503418,140.975354772829,True
568952,754.2890692566081,155.05170822143555,151.6905375009956,True
907723,952.744981618901,164.64471817016602,161.03341575507682,True
590321,768.3234995755369,132.46512413024902,128.7614437045309,True
462492,680.0676436943608,124.8941421508789,121.03774339019817,True
146068,382.1884351991829,135.9870433807373,133.7611057616411,True
187564,433.0865964215471,113.6319637298584,110.31995597140956,True
738409,859.3072791498976,131.45184516906738,128.44404099922082,True
341557,584.4287809476874,140.6693458557129,136.52854144143262,True
324239,569.4198802289924,158.78844261169434,154.2800701006263,True
757546,870.3711851848038,175.66990852355957,171.1670496356855,True
962744,981.1951895520075,130.39541244506836,126.17878962113681,True
556192,745.7828102068323,118.73102188110352,115.24259932705215,True
8006,89.47625383307015,157.93728828430176,154.07654967247447,True
640762,800.4761083255389,154.00195121765137,151.26427766437033,True
499021,706.4141844555501,187.53433227539062,183.19188969847832,True
549527,741.3008835823683,120.75304985046387,117.46507459707935,True
941216,970.162872923923,153.4099578857422,149.61456936189433,True
603607,776.9214889549651,122.87712097167969,119.16964011445843,True
709302,842.2006886722428,185.44816970825195,182.93937899855044,True
229191,478.7389685413127,116.24813079833984,112.63651643515317,True
314170,560.5086975239545,141.05916023254395,137.84282473192926,True
777422,881.7153735758496,155.37548065185547,151.73400721192945,True
32869,181.29809706668186,184.15093421936035,180.3794114447472,True
194382,440.8877408139174,126.99604034423828,123.82092250662646,True
520071,721.1594830548927,177.07014083862305,173.58349337444338,True
609933,780.9820740580413,168.11275482177734,164.13430221800374,True
822744,907.0523689401842,181.1995506286621,177.38436810651564,True
492773,701.9779198806755,127.4728775024414,123.79559995226711,True
951067,975.2266403252117,149.68061447143555,146.85569631475727,True
162153,402.68225687258683,168.92242431640625,165.65037963303297,True
353858,594.859647311868,139.4212245941162,136.0211569348311,True
464180,681.3075663751284,191.85566902160645,188.21940830101204,True
964045,981.8579326969865,107.42783546447754,103.97518825349273,True
402301,634.2720236617724,134.8276138305664,132.22487637372166,True
560941,748.9599455244586,174.13687705993652,170.25565396315073,True
423158,650.5059569289124,170.47953605651855,167.75047368783152,True
158588,398.23108869097604,166.961669921875,163.57464332142547,True
648343,805.1974913025996,175.3225326538086,171.64369343662912,True
926154,962.3689521176377,132.32064247131348,128.51565577789253,True
160483,400.60329504386254,140.4743194580078,137.14515596576814,True
216271,465.04945973519847,180.3450584411621,177.55998450905292,True
918478,958.3725789065545,104.0642261505127,100.3761527059576,True
275687,525.0590442988293,173.07162284851074,169.64027701074602,True
73565,271.22868579853423,108.77418518066406,105.33436874830362,True
868145,931.7429903143892,168.71380805969238,165.9586383442994,True
853724,923.9718610433978,123.66747856140137,119.47459338563885,True
151985,389.85253622363416,114.46666717529297,111.01848048590847,True
476758,690.4766469620823,172.67870903015137,169.42063845204808,True
828768,910.3669589786308,146.30556106567383,142.21536735342076,True
770210,877.6160891870659,124.59945678710938,121.63993529142655,True
633040,795.6381086901255,115.87715148925781,112.1117310185711,True
236429,486.2396528462071,171.63372039794922,169.00485006776407,True
650405,806.4769060549719,190.75512886047363,187.8675497616613,True
420758,648.6586159144115,132.16257095336914,128.53363781584375,True
796385,892.4040564676967,141.92700386047363,138.28359049042484,True
452636,672.7822827631536,182.68847465515137,179.29865531771688,True
567231,753.1473959325624,103.81841659545898,100.12388081195596,True
472269,687.2183059261446,117.22397804260254,113.23166640640429,True
144801,380.5272657773684,145.5826759338379,141.10048085162254,True
12974,113.9034679015525,128.5707950592041,125.13676123581064,True
899525,948.4329180284708,137.4058723449707,134.10445820428978,True
129865,360.36786760198254,115.8609390258789,112.32086760479943,True
510488,714.4844295014412,141.9234275817871,139.93838556082716,True
437992,661.8096403045214,140.12742042541504,136.24406162525105,True
805493,897.4926183540452,179.72493171691895,176.17508979234015,True
67596,259.9923075785128,110.20731925964355,106.45049714229384,True
216110,464.8763276399434,138.83638381958008,135.75616037757464,True
237871,487.72020667591784,108.81781578063965,105.74027024291937,True
831090,911.6413768582469,110.89611053466797,107.2280192036719,True
947071,973.1757292493479,115.54670333862305,112.75766921391354,True
