input,output,delay,api_delay,success
177620,421.4498783959962,188.86733055114746,186.2165816335198,True
974576,987.2061588138519,190.6890869140625,187.23393891320228,True
803955,896.6353773970777,166.00370407104492,163.11113043816317,True
376338,613.4639353702872,174.25251007080078,170.6126765959891,True
817659,904.2449889272265,175.23479461669922,171.52434964574252,True
97598,312.40678609786954,116.90425872802734,113.70634326548125,True
862213,928.5542525883989,141.83926582336426,140.48259259789995,True
171102,413.64477513924913,119.68255043029785,115.89972585393494,True
713559,844.7242153507854,166.39208793640137,164.31007057093203,True
296345,544.3757893220454,120.4824447631836,117.05712458191513,True
133879,365.8947936224291,119.72570419311523,115.63383316504593,True
592882,769.9883115995982,142.59719848632812,140.46426002037896,True
76192,276.02898398537786,144.3612575531006,141.18960825582593,True
324896,569.9964912172705,133.73661041259766,131.1798428853312,True
411464,641.4545969903093,117.0203685760498,114.18949739299549,True
179152,423.2635113023564,154.6492576599121,150.4996865180034,True
723204,850.4140168176909,166.88823699951172,163.97592458611803,True
545449,738.5451915759793,153.12695503234863,149.0794801206603,True
231673,481.3242150567536,112.26272583007812,110.3987743272948,True
36347,190.6488919453769,110.04281044006348,106.62034373107595,True
41669,204.1298606279836,152.6014804840088,149.6656605480528,True
14790,121.61414391426682,131.1631202697754,127.81793442643851,True
497707,705.4835221321615,185.33992767333984,182.92459421363915,True
999547,999.7734743430634,136.01207733154297,132.8839430755255,True
966282,982.9964394645588,134.0804100036621,130.97461175627862,True
747000,864.291617453276,184.76057052612305,182.04264408990306,True
685378,827.8755945188866,157.98425674438477,155.02026038341032,True
699392,836.2965981038067,158.38885307312012,155.29848003059809,True
363731,603.1011523782723,166.07379913330078,163.06462444743934,True
372599,610.4088793587459,129.96482849121094,127.36194497625853,True
219509,468.51787585960903,182.6021671295166,178.59709803686357,True
684122,827.1166785889401,178.5423755645752,174.89039910687478,True
160862,401.07605263839923,169.75116729736328,166.16420784333326,True
747143,864.3743402022066,108.7343692779541,107.05091429463872,True
977392,988.6313772079055,149.1546630859375,145.79431117278202,True
562938,750.2919431794534,177.61993408203125,173.6159990358499,True
861738,928.29844338984,154.29234504699707,150.85770928392168,True
94947,308.13471080032514,103.22880744934082,101.4794092066932,True
133755,365.72530675357973,138.26799392700195,134.7255743711165,True
870840,933.1880839359234,108.50930213928223,105.04091213311874,True
694311,833.2532628198944,177.97541618347168,175.364816617739,True
94431,307.29627397676006,160.6307029724121,158.1458758854545,True
218645,467.5949101519391,185.97078323364258,183.2275116827219,True
114768,338.7742611238345,184.28707122802734,181.35812766794425,True
21419,146.35231463834114,117.76208877563477,115.26657313106794,True
180543,424.90351846036765,165.1155948638916,161.46062357083045,True
903597,950.5771930779741,157.69171714782715,154.97442351225075,True
188592,434.2718042885124,184.81159210205078,182.47997991869806,True
482088,694.3255720481567,116.9424057006836,113.57109695205858,True
470447,685.8913908192754,174.2231845855713,172.3842160519844,True
674367,821.198514367872,156.90183639526367,153.78554644712645,True
287446,536.1399071138055,180.66048622131348,178.47090760998242,True
116694,341.6050350916977,127.12836265563965,123.97223671691313,True
779028,882.6256284518369,112.51044273376465,110.5408332723172,True
950087,974.7240635174654,119.49348449707031,117.4211045265485,True
132288,363.7141734934178,118.8042163848877,115.66899178958825,True
542737,736.7068616485121,180.93013763427734,176.87002362975187,True
318132,564.031913990689,165.6653881072998,164.18281753712097,True
264244,514.0466904863798,139.43719863891602,137.26049206174946,True
623279,789.4802087449691,107.08498954772949,103.85861950357629,True
387147,622.2113788737715,185.61458587646484,181.84509141860232,True
253303,503.2921616715285,170.95136642456055,168.18767753412885,True
312468,558.9883719720832,176.01847648620605,172.7430517768226,True
90343,300.5711230308061,140.06328582763672,136.65678019302706,True
428537,654.6273749240861,128.86881828308105,126.47689775042787,True
620129,787.482698222634,129.27508354187012,125.73813617762356,True
418921,647.2410679182834,185.97769737243652,182.90048303627088,True
284534,533.4172850592677,135.36429405212402,133.08724077422502,True
520240,721.2766459549346,145.7827091217041,143.18007314965462,True
547229,739.7492818516284,116.05167388916016,112.20861980808247,True
449541,670.4781875646664,157.23490715026855,153.64223189460859,True
102488,320.13747047167095,160.06898880004883,158.8394205343423,True
917853,958.0464498133689,175.7071018218994,172.6162561434806,True
516268,718.5179190528236,106.39166831970215,103.41047828058433,True
798005,893.3112559461008,182.38043785095215,178.5123005416307,True
303264,550.6941074680208,111.1900806427002,108.29203830864242,True
666049,816.1182512356895,146.50249481201172,143.75600869593117,True
17556,132.4990566004151,157.06849098205566,153.90604500952765,True
224481,473.7942591463092,178.5125732421875,175.02314409062342,True
982723,991.3238623174568,180.64498901367188,176.80584159390034,True
538564,733.8691981545485,180.47118186950684,177.54696246897765,True
322202,567.6283995714098,173.80475997924805,170.81580370582503,True
298724,546.5564929629874,179.00466918945312,176.3700205242647,True
363393,602.8208689154682,148.02241325378418,145.36348854252944,True
360436,600.3632233906404,185.5754852294922,183.2691151302544,True
489200,699.4283380018285,177.88124084472656,176.40290194706824,True
523467,723.510193431993,150.79092979431152,146.79374553831684,True
562571,750.047331839798,114.07089233398438,110.1782176227287,True
608288,779.928201823732,126.18398666381836,122.99557385192848,True
290709,539.1743688270058,128.12352180480957,125.48243390826713,True
547573,739.9817565318756,151.43632888793945,147.93958915785603,True
414599,643.8936247548969,158.45084190368652,156.08005473209946,True
284174,533.0797313723342,143.32842826843262,140.35261110631657,True
353032,594.1649602593542,141.27063751220703,138.42716824807678,True
327045,571.8784835959472,163.3751392364502,159.8316905504099,True
225129,474.477607480058,162.34493255615234,160.41255508248963,True
381560,617.7054314153308,155.47990798950195,151.81072825499567,True
4726,68.74590896918885,154.9520492553711,152.24699363096644,True
627671,792.2569027783854,146.7611789703369,143.61522594080867,True
999804,999.9019951975293,125.31542778015137,120.57699799170463,True
444644,666.8163165370206,184.3407154083252,181.14636218957986,True
6236,78.96834808959854,175.69851875305176,171.8275480597084,True
248697,498.69529775204416,119.17376518249512,115.3777997174047,True
535621,731.8613256621776,148.64659309387207,144.32865043677904,True
691511,831.5714040297441,107.90896415710449,103.60161396679574,True
585113,764.9267938829179,187.15524673461914,184.11879521828772,True
830435,911.2820639077672,172.6398468017578,169.9709368989042,True
992849,996.4180849422596,142.82846450805664,138.9056429116205,True
481329,693.778783186687,107.80024528503418,105.25791171712979,True
587742,766.6433329782501,154.38103675842285,150.04440809350234,True
166767,408.3711547110055,133.85272026062012,127.70057938461058,True
383016,618.8828645228433,117.01631546020508,114.41740510266521,True
516191,718.464334535821,163.22755813598633,159.00396424046144,True
817661,904.246094821537,118.58749389648438,114.79939484959432,True
674730,821.4195030555337,153.20849418640137,150.27230842968493,True
801285,895.1452396119861,153.51366996765137,150.13370020167258,True
538139,733.5795798684693,109.91215705871582,106.27331970386429,True
233308,483.01966833660094,105.00288009643555,100.70546519124758,True
731198,855.101163605804,166.53990745544434,163.22657045959787,True
717213,846.8842896169464,111.27066612243652,109.27415577728195,True
250142,500.14197984172455,177.87504196166992,176.45662631451987,True
26002,161.25135658344087,188.04407119750977,185.13448898557334,True
499962,707.0799106183119,169.18349266052246,166.37343326469752,True
337908,581.2985463597857,123.7173080444336,122.17898585048233,True
197389,444.2848185567452,151.95584297180176,147.8070817675487,True
309826,556.620157737752,190.31214714050293,188.09957132708533,True
532810,729.9383535614497,122.83444404602051,120.37215768513444,True
60579,246.12801547162402,129.3034553527832,125.71710469623088,True
702421,838.1056019380851,131.7296028137207,128.01335303203027,True
998009,999.00400399598,103.17778587341309,101.09329548357337,True
535899,732.0512277156565,163.46073150634766,160.2812736644882,True
683900,826.9824665614138,141.33715629577637,138.4585478943312,True
724836,851.3730087335398,187.86907196044922,185.2219045560104,True
186647,432.026619550231,127.77185440063477,123.6029176256207,True
56169,237.0,177.95801162719727,174.646318289616,True
493877,702.7638294619323,162.1692180633545,158.8892105159765,True
143671,379.03957577012983,114.03679847717285,111.48782165666837,True
398955,631.6288467130044,149.2478847503662,146.82687252780252,True
27287,165.18777194453588,157.7463150024414,154.59116004788197,True
973703,986.7639028663341,109.34925079345703,106.03403434403113,True
243474,493.4308462185963,172.26719856262207,168.64173083192395,True
800327,894.6099708811656,134.68480110168457,131.00734181052536,True
447240,668.7600466535064,117.57469177246094,114.84321869883203,True
956962,978.2443457541679,185.30941009521484,183.0797936447236,True
976163,988.0096153378265,135.01548767089844,131.5621502798856,True
321507,567.0158727936988,117.33341217041016,114.05500987849288,True
86763,294.55559746845756,179.36205863952637,175.8937157703056,True
949032,974.1827343984289,180.47046661376953,177.52442476012075,True
29322,171.23667831396403,131.05511665344238,128.6406935172762,True
127648,357.2786027738017,190.90867042541504,187.8867888898904,True
673235,820.5089883724614,180.9849739074707,177.38862660883055,True
105373,324.6120761770886,173.74825477600098,171.2138890453121,True
804039,896.6822179568412,150.5129337310791,147.20144168064604,True
736790,858.364724345077,175.0631332397461,173.2296574502197,True
496364,704.5310497061148,128.8928985595703,124.80860163657589,True
